epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,608.988,0.89495,0.54313,1.03791,0.98068,0.97656,0.98481,0.69382,1.10854,0.43653,1.1764,0.000148525,0.000148525,0.000148525
43,623.85,0.88938,0.54495,1.03502,0.98329,0.97031,0.9854,0.69037,1.08698,0.42751,1.15031,0.00014605,0.00014605,0.00014605
44,638.69,0.87819,0.53335,1.03021,0.98158,0.96809,0.98298,0.66663,1.15489,0.44571,1.19771,0.000143575,0.000143575,0.000143575
45,653.574,0.87316,0.5372,1.02804,0.97945,0.9726,0.98605,0.66873,1.17992,0.44824,1.22238,0.0001411,0.0001411,0.0001411
46,668.639,0.87832,0.52963,1.03263,0.97922,0.96971,0.98686,0.69947,1.06843,0.42148,1.14619,0.000138625,0.000138625,0.000138625
47,683.468,0.86638,0.53529,1.02616,0.98014,0.96516,0.98363,0.68132,1.1355,0.43414,1.19437,0.00013615,0.00013615,0.00013615
48,698.165,0.85895,0.52979,1.0247,0.97592,0.97174,0.98713,0.69271,1.10041,0.43,1.17575,0.000133675,0.000133675,0.000133675
49,712.886,0.8507,0.51988,1.0198,0.9833,0.9696,0.98656,0.69257,1.10062,0.4251,1.17012,0.0001312,0.0001312,0.0001312
50,727.497,0.85469,0.52218,1.02007,0.9794,0.97401,0.98282,0.67808,1.11536,0.42629,1.18275,0.000128725,0.000128725,0.000128725
51,742.173,0.84192,0.5213,1.01362,0.98321,0.96825,0.98252,0.69524,1.08509,0.41825,1.16226,0.00012625,0.00012625,0.00012625
52,757.042,0.83965,0.50938,1.01327,0.9819,0.97332,0.98658,0.67724,1.14733,0.43002,1.20726,0.000123775,0.000123775,0.000123775
53,771.982,0.83498,0.51094,1.01165,0.98105,0.97189,0.98539,0.67727,1.1419,0.42972,1.20531,0.0001213,0.0001213,0.0001213
54,786.607,0.82443,0.50078,1.0064,0.98148,0.97098,0.98521,0.69247,1.10313,0.41967,1.1816,0.000118825,0.000118825,0.000118825
55,801.441,0.83682,0.50401,1.0135,0.98271,0.9776,0.9846,0.70154,1.07428,0.40902,1.14484,0.00011635,0.00011635,0.00011635
56,816.304,0.82376,0.49832,1.00615,0.9802,0.97062,0.98568,0.67278,1.16786,0.42726,1.2249,0.000113875,0.000113875,0.000113875
57,831.23,0.81828,0.50185,1.00445,0.97856,0.97327,0.98734,0.69391,1.11847,0.41906,1.18586,0.0001114,0.0001114,0.0001114
58,846.033,0.81112,0.49977,1.00151,0.98078,0.97051,0.98465,0.68888,1.11344,0.41979,1.18756,0.000108925,0.000108925,0.000108925
